objectid,parentid,title,creator,date,date_range,date_is_approximate?,publisher,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,filename
col007_gg_1,,Scrapbook Cover Page,,1922,,,,"The leather-bound scrapbook cover page of Ardath Lillian Caldwell, Meridian High School class of 1922.",scrapbooks,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1. Early Days display case.",,Image;StillImage,image/jpeg,eng,,,image,col007_gg_ph1.jpg
col007_gg_2,,Scrapbook Inside Page,,1922,,,,The interior first page of the scrapbook identifying it as belonging to Ardath Lillian Caldwell.,scrapbooks,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1. Early Days display case.",,Image;StillImage,image/jpeg,eng,,,image,col007_gg_ph2.jpg
featured_col007,,Collage of Ardath Caldwell,,1922,,,,Various images,featured,"Meridian, Idaho",43.6094543,-116.3931118,"Meridian Library History Center, FC1. Early Days display case.",,Image;StillImage,image/jpeg,eng,,,image,featured_col007.jpg
